Ticker,Sector,Weight (%),Expected Return (%),Volatility (%),Composite Score,Market Baseline (%),Cash Yield (%),Growth (%),Valuation Reversion (%),Macro Adjustment (%),Risk Premium (%),Factor Tilt (%)
MCD,Consumer,15.0,18.07,17.0,70.9,8.52,-0.5,1.56,6.69,1.0,-0.03,0.83
JNJ,Healthcare,15.0,19.8,16.4,79.5,8.52,0.2,3.03,6.69,0.5,-0.32,1.18
ROST,Consumer,10.0,18.56,19.7,72.8,8.52,-0.5,1.99,6.59,1.0,0.04,0.91
VZ,Communication,2.0,19.13,28.2,73.7,8.52,-0.3,2.52,6.69,0.52,0.24,0.95
GOOGL,Communication,2.0,15.55,27.8,64.4,8.52,-0.3,1.31,4.71,0.5,0.23,0.58
GOOG,Communication,2.0,15.38,27.4,64.2,8.52,-0.3,1.3,4.57,0.5,0.22,0.57
DG,Consumer,2.0,18.71,38.9,75.0,8.52,-0.5,1.96,6.15,1.0,0.58,1.0
HSY,Consumer Staples,2.0,14.8,28.2,68.3,8.52,1.2,-2.13,6.6,0.0,-0.12,0.73
BG,Consumer Staples,2.0,13.26,24.1,65.5,8.52,1.2,-2.21,5.37,0.0,-0.24,0.62
CLX,Consumer Staples,2.0,12.49,24.6,70.9,8.52,1.2,-2.28,4.43,0.0,-0.22,0.84
NBR,Energy,2.0,16.05,58.3,68.2,8.52,1.7,-2.71,6.01,0.58,1.22,0.73
FTI,Energy,2.0,15.15,29.9,69.0,8.52,1.7,-2.89,6.14,0.5,0.42,0.76
APA,Energy,2.0,15.65,44.6,66.1,8.52,1.7,-3.19,6.64,0.5,0.84,0.64
C,Finance,2.0,17.9,31.8,69.4,8.52,0.7,0.29,6.69,0.5,0.43,0.78
GS,Finance,2.0,16.98,31.3,72.2,8.52,0.7,0.19,5.77,0.5,0.42,0.89
MS,Finance,2.0,14.75,29.6,66.1,8.52,0.7,0.07,3.94,0.5,0.37,0.65
MRK,Healthcare,2.0,19.53,26.4,75.0,8.52,0.2,3.22,6.12,0.5,-0.04,1.0
BMY,Healthcare,2.0,19.84,28.3,73.5,8.52,0.2,3.25,6.42,0.5,0.02,0.94
LMT,Industrial,2.0,18.63,28.0,76.3,8.52,0.2,1.19,6.44,1.0,0.23,1.05
HON,Industrial,2.0,17.93,22.9,67.6,8.52,0.2,0.74,6.69,1.0,0.09,0.7
AME,Industrial,2.0,17.69,22.0,66.9,8.52,0.2,0.72,6.51,1.0,0.06,0.67
ATI,Materials,2.0,16.83,33.6,72.4,8.52,0.5,-0.59,6.58,0.5,0.44,0.89
ECL,Materials,2.0,15.77,20.1,78.3,8.52,0.5,-1.63,6.69,0.5,0.06,1.13
FCX,Materials,2.0,15.79,40.1,65.7,8.52,0.5,-0.83,5.86,0.5,0.62,0.63
PLD,Real Estate,2.0,16.1,18.0,76.3,8.52,2.2,-2.39,6.44,0.5,-0.23,1.05
EQIX,Real Estate,2.0,16.38,29.0,67.9,8.52,2.2,-1.53,5.54,0.86,0.08,0.71
O,Real Estate,2.0,15.14,16.1,76.2,8.52,2.2,-2.31,5.46,0.5,-0.28,1.05
MU,Technology,2.0,24.15,68.2,72.9,8.52,-0.6,6.25,6.26,1.35,1.45,0.92
AMAT,Technology,2.0,23.21,46.6,66.3,8.52,-0.6,6.03,6.69,1.08,0.84,0.65
LRCX,Technology,2.0,21.38,53.7,64.5,8.52,-0.6,6.18,4.57,1.09,1.04,0.58
ETR,Utilities,2.0,13.91,18.1,66.9,8.52,1.9,-3.33,6.64,0.0,-0.5,0.68
ES,Utilities,2.0,14.02,28.7,66.3,8.52,1.9,-3.32,6.47,0.0,-0.2,0.65
CNP,Utilities,2.0,13.7,15.1,66.8,8.52,1.9,-3.35,6.54,0.0,-0.58,0.67
